class,certainty
1,0.8167532114433156
3,1.0
2,0.9076713780961311
2,0.899734052685239
1,0.8323902867944292
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
2,0.6468179917148162
2,0.8379685621076595
2,0.8189984822779723
2,0.9166786793597624
3,1.0
3,1.0
3,1.0
1,0.7187654670363915
2,0.7121524406722047
3,1.0
2,0.7546067595363469
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
1,0.7856198893823536
3,1.0
3,1.0
3,1.0
3,1.0
1,0.83983716438546
2,0.7509532114820656
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
1,0.8366052707996464
2,0.5706250817110498
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,0.8930861095394546
3,1.0
2,0.7607217123484445
3,1.0
1,0.8295069327812358
1,0.8234682389148804
3,1.0
1,0.7592799697977255
3,1.0
2,0.8348821444681312
3,1.0
3,1.0
3,1.0
2,0.9074219863024734
3,1.0
2,0.6470415547198941
2,0.5471132371105165
1,0.8278181126237417
2,0.915938305228469
1,0.7232056665546966
1,0.8069521574264555
2,0.7274167683254705
2,0.8813837369289416
1,0.8280394247298113
3,1.0
3,1.0
1,0.7042151081538603
3,1.0
3,1.0
3,1.0
3,0.9456590570105673
2,0.598264614180767
3,1.0
1,0.7216721335564663
2,0.5070978849965075
1,0.7614438336135171
2,0.7026533624842418
3,1.0
3,1.0
3,1.0
3,1.0
1,0.8338282269663899
1,0.7892227158716809
3,1.0
3,1.0
1,0.7781586084874773
3,1.0
3,1.0
2,0.6891606236830788
3,1.0
3,1.0
3,1.0
3,1.0
1,0.8275056661773486
3,1.0
1,0.6921470586711325
1,0.9615045145346546
3,1.0
3,1.0
3,0.9737185490597932
3,1.0
3,1.0
1,0.6612579586888666
3,1.0
2,0.6701686910881832
2,0.6832094640002708
2,0.7353844844969505
3,1.0
1,0.8398967934209568
1,0.6670414527850436
1,0.9498602368378609
2,0.6405929334022331
2,1.0
3,1.0
3,1.0
1,0.8051642261934191
1,0.6528857970215085
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
2,0.6057366857397106
3,1.0
3,1.0
1,0.9319235816056921
3,1.0
1,0.969543644443951
3,1.0
2,1.0
3,1.0
1,0.5630074566213334
3,1.0
1,0.656566876582381
3,1.0
3,1.0
2,0.6843285352011025
3,1.0
3,1.0
3,1.0
2,0.6558727666780968
1,0.6605741128804676
1,0.8218163481925749
2,0.6502022467826692
3,0.909639052855155
3,1.0
2,0.6859913983472514
3,1.0
3,1.0
1,1.0
1,0.8866641279560816
3,1.0
1,0.9112140757045883
3,1.0
2,0.7857605056791864
1,0.5833613483775877
1,0.583984600720003
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
2,0.7210550152750544
3,1.0
3,1.0
3,1.0
1,0.9089974758441688
3,1.0
3,0.8980646744229609
3,0.9214781130318059
3,1.0
1,0.9223215645570471
1,0.7749494298889222
3,1.0
1,0.9421333594361434
1,0.5764957079955021
3,1.0
3,1.0
1,0.5804095653559217
2,0.6035683130265121
2,0.8698755523640899
1,0.5701038993666724
3,1.0
3,1.0
3,0.7041301945046188
3,1.0
2,0.8102308784006462
1,0.9549973909027579
1,0.8055820409316528
3,1.0
2,0.701359782492863
3,1.0
1,0.608795248976528
3,1.0
1,0.6533273518449836
3,1.0
3,1.0
1,0.9082256772809565
1,0.811074246046951
3,0.9439816101005469
2,0.8128002967202823
1,0.90269102905443
3,1.0
3,1.0
3,1.0
1,0.9540213003732675
1,0.6348389203930409
1,0.9592172189200857
3,0.4531929320494457
1,0.9519718543156879
2,0.8702863444000668
1,0.9196980612083127
1,0.8925887241071929
3,0.9621744108505358
2,1.0
1,0.928508794731428
3,1.0
3,1.0
2,0.5430592787849672
2,0.7488967407647883
3,1.0
2,0.58000487123075
2,0.8861260908863497
2,0.7758605747137993
3,0.9647248242033842
1,0.9317191789371927
2,0.38596901806827694
1,0.9083649805809668
1,0.8652419697596484
3,1.0
3,1.0
2,0.8313973982818721
1,0.5470633966872872
2,1.0
2,0.9450182295058164
1,0.9438608130788168
3,1.0
2,0.5045975300107408
1,0.919931231685609
2,0.62828967729311
2,0.5150384581389306
2,0.622240933829234
3,1.0
3,1.0
3,1.0
2,0.7661804383819028
3,1.0
1,0.8560296870585605
1,0.9189449283623227
2,0.7892707994414695
3,1.0
1,0.935248510918437
1,0.8395398060749177
1,0.9232506712276888
1,0.9374418380678328
3,1.0
1,0.9265755363604158
3,1.0
2,0.9377191465250889
3,1.0
2,0.8996255011947331
2,0.9006398651042345
3,1.0
1,0.9299017650389522
2,0.799650663873472
1,0.8633381361961406
3,1.0
1,0.797879177358814
2,0.7821220740080288
3,1.0
2,0.7371756975574391
3,1.0
1,0.5483824236858563
3,1.0
2,0.7750457141640961
3,1.0
1,0.5152282185514073
1,0.7285136313783936
1,0.6999743718232048
2,0.8109352426083474
1,0.5407083671882418
2,1.0
1,0.9413444460773746
1,0.8772215739781855
1,0.7021201472979168
3,1.0
1,0.5013395275806423
2,1.0
3,1.0
3,1.0
2,1.0
3,1.0
3,1.0
1,0.7657195561981179
1,0.9197768450957693
3,1.0
1,0.720590777688574
3,1.0
3,0.8765495617300765
1,0.9122531189939667
1,0.7700120591995522
3,1.0
2,0.959561764889256
3,1.0
1,0.6388699155424457
2,0.572559047983732
2,0.6323352758167361
2,0.9181933331069716
1,0.6771836135501018
2,0.5648375286050429
1,0.7813477514002583
3,1.0
2,0.6003462485850899
2,0.9635596543576457
2,0.6073768615325205
3,1.0
2,0.9679690704456251
2,0.9676458185194119
2,0.9348896341157056
2,0.9587957824697159
1,0.5105132313025369
2,1.0
3,1.0
2,0.9657178916316876
2,0.7409090854708726
2,0.6815710447375907
2,0.9178012902252204
3,0.882397941157437
3,0.9011031762201717
2,0.5717227074636427
3,0.9073103388985818
2,1.0
2,1.0
2,1.0
1,0.7174506822187989
2,0.7020370772058963
2,0.7074046213915718
2,0.6017037198417052
1,0.8061823641505895
2,1.0
2,0.6859175347366391
3,0.8704962620320467
1,0.921651438606759
2,1.0
2,1.0
2,0.8493708000976194
2,1.0
1,0.5950782883546581
2,0.6015670287585034
1,0.6603478017489833
2,1.0
1,0.86782084271739
1,0.7440904534360783
2,0.5626867775508267
2,0.5724068622890348
1,0.9175453916097958
2,0.8128478783483053
2,0.9629664428100881
1,0.9187106475993854
2,0.7008453645213114
2,1.0
1,0.8339905563053396
3,1.0
1,0.9262160732028037
2,0.9274728451300881
